,Eigenvector,Closeness,Degree,In-Degree,Out-Degree,Betweenness
MKD,0.0008313585017379757,0.4476599223380339,0.9227467811158798,0.36909871244635195,0.5536480686695279,0.019979280745893148
EGY,0.015384746781942708,0.556263808822409,1.2875536480686696,0.5450643776824035,0.7424892703862661,0.039792067485570515
GBR,0.168972346393523,0.6065069915547556,1.5836909871244635,0.6051502145922747,0.9785407725321889,0.0
TZA,0.0028604670857107087,0.5137081076010225,1.1587982832618027,0.48497854077253216,0.6738197424892703,0.04898623649548616
USA,0.6518773017113726,0.622573401927067,1.5836909871244635,0.6223175965665236,0.9613733905579399,0.0
YEM,0.0015503940413991652,0.447339257289085,0.3648068669527897,0.3648068669527897,0.0,0.0
AGO,0.003007117204197914,0.4936956570081612,0.45064377682403434,0.45064377682403434,0.0,0.0
ATG,0.0004040192819550919,0.44980183584204364,0.5879828326180258,0.37339055793991416,0.2145922746781116,0.005346307532928815
BHS,0.003098033613230404,0.4625401058377433,0.3948497854077253,0.3948497854077253,0.0,0.0
BRB,0.0006078953555760143,0.4413548530093292,0.9570815450643777,0.3562231759656652,0.6008583690987125,0.0543880420304869
MMR,0.006444636564535093,0.4677043964725727,1.1244635193133048,0.40772532188841204,0.7167381974248928,0.0070482462631345265
KHM,0.004046031648484193,0.47963563107646484,1.0643776824034334,0.4291845493562232,0.6351931330472103,0.01574293325440284
CPV,8.48568262290819e-05,0.4434367155235241,0.4248927038626609,0.3605150214592275,0.06437768240343347,0.0202382714222288
CRI,0.007759552434803127,0.49219153764914725,1.0858369098712446,0.45064377682403434,0.6351931330472103,0.05255660796211336
CUB,0.0019391594426528937,0.4861390908294649,0.43776824034334766,0.43776824034334766,0.0,0.0
DOM,0.009787401544909006,0.4870911072071871,1.0300429184549356,0.44206008583690987,0.5879828326180258,0.003163386118099748
ECU,0.006508014082892728,0.49219153764914725,1.1416309012875536,0.45064377682403434,0.6909871244635193,0.014188989196388928
GAB,0.000512559941276423,0.4988652450396603,0.4592274678111588,0.4592274678111588,0.0,0.0
GMB,0.0002721050179939979,0.4541477472994547,0.6008583690987125,0.38197424892703863,0.21888412017167383,0.004495338167825958
GTM,0.00820698882517353,0.47004291845493557,1.0214592274678111,0.41201716738197425,0.6094420600858369,0.0
GUY,0.0006201469492226779,0.4434367155235241,0.8111587982832618,0.3605150214592275,0.45064377682403434,0.0028858961077401213
JAM,0.002258914712282355,0.4845803283040573,0.9227467811158798,0.43776824034334766,0.48497854077253216,0.09551206156578362
MDV,0.0003547098598168194,0.4585784570292054,0.5579399141630901,0.3905579399141631,0.16738197424892703,0.0037368654728429777
MLI,0.0005489856184197174,0.4896280400572246,0.8283261802575107,0.44635193133047213,0.38197424892703863,0.009841645700754773
MRT,0.0007800007525620146,0.47479082672215717,0.8025751072961373,0.4206008583690987,0.38197424892703863,0.007677223619949681
PAN,0.013368179824034689,0.5402792166148684,1.03862660944206,0.5236051502145923,0.5150214592274678,0.07092644664792067
PHL,0.03523866706781581,0.5434022178669776,1.407725321888412,0.5278969957081545,0.8798283261802575,0.02769350303389078
KNA,0.00017595838341803586,0.4196811771919068,0.4592274678111588,0.3090128755364807,0.15021459227467812,0.015187953233683587
SYC,0.0001286064206006607,0.463096471384173,0.776824034334764,0.39914163090128757,0.37768240343347637,0.04545286369690691
SLE,0.0002778081411046305,0.4870911072071871,0.6866952789699571,0.44206008583690987,0.2446351931330472,0.00897217700162794
